groupId,artifactId
mockobjects,mockobjects-core
org.apache.lucene,lucene-backward-codecs
ma.glasnost.orika,orika-core
org.apache.shiro,shiro-cas
io.github.openfeign,feign-core
com.mchange,c3p0
com.puppycrawl.tools,checkstyle
com.onelogin,java-saml
love.forte.simple-robot-module,simple-robot-module-debugger-common
com.github.lalyos,jfiglet
com.googlecode.concurrentlinkedhashmap,concurrentlinkedhashmap-lru
com.comino,mavcom
org.springframework,spring-websocket
com.tinkerpop,pipes
io.appium,java-client
com.github.tchoulihan,musicbrainz-tagger
com.oracle.database.jdbc,ojdbc8
com.rabbitmq,amqp-client
com.netflix.feign,feign-core
com.typesafe.scala-logging,scala-logging-slf4j_2.11
org.apache.hadoop,hadoop-yarn-client
org.apache.samza,samza-aws_2.11
org.eluder.coveralls,coveralls-maven-plugin
org.jboss.resteasy,resteasy-jaxrs
org.jenkins-ci.modules,instance-identity
com.github.fommil,java-logging
org.eclipse.jetty,jetty-alpn-java-server
org.snmp4j,snmp4j
org.scala-lang,scala-reflect
com.github.GeyserMC,opennbt
io.confluent,kafka-schema-registry
org.jenkins-ci.plugins,docker-workflow
com.sagframe,sagacity-sqltoy
net.bytebuddy,byte-buddy
org.openjdk.nashorn,nashorn-core
xml-apis,xml-apis-ext
org.mineacademy.plugin,ProtocolLib
com.atlassian.oai,swagger-request-validator-core
com.1stleg,jnativehook
org.netbeans.api,org-netbeans-modules-options-api
com.jgoodies,jgoodies-looks
ch.cyberduck,googlestorage
com.vmware.nsx,nsx-vmc-sdk-common
org.ops4j.pax.exam,pax-exam-container-native
org.apache.lucene,lucene-analyzers
org.fusesource.leveldbjni,leveldbjni
net.Zrips,CMILib
org.noear,nami.coder.protostuff
io.dropwizard.metrics,metrics-servlets
org.apache.opennlp,opennlp-uima
com.google.errorprone,error_prone_annotations
org.seleniumhq.selenium,selenium-support
org.apache.cxf,cxf-rt-frontend-jaxws
io.github.talelin,lin-cms-spring-boot-starter
oauth.signpost,signpost-commonshttp4
graphframes,graphframes
com.marswork,marswork-dataaccess
plugily.projects.inventoryframework,IF
org.apache.storm,storm-core
mavbase,mavbase
io.vertx,vertx-web
com.paritytrading.nassau,nassau-util
org.apache.xmlgraphics,xmlgraphics-commons
org.apache.curator,curator-test
org.jboss.marshalling,jboss-marshalling-serial
commons-dbutils,commons-dbutils
org.junit.jupiter,junit-jupiter-params
org.springframework.security.extensions,spring-security-saml2-core
com.xeiam.xchange,xchange-cavirtex
com.squareup.retrofit,retrofit
com.google.api-client,google-api-client
org.apache.parquet,parquet-protobuf
org.simplericity.macify,macify
org.noear,solon.extend.graalvm
org.apache.struts,struts-extras
mediautil,mediautil
javax.servlet,jsp-api
org.codehaus.sonar,sonar-batch
io.nats,jnats
com.cloudbees,diff4j
org.takes,takes
org.springframework.integration,spring-integration-event
com.gluonhq.attach,vibration
org.apache.maven.shared,maven-invoker
org.jline,jline-console
org.atmosphere,wasync
org.sonatype.sisu,sisu-inject-plexus
org.jruby.joni,joni
org.apache.commons,commons-rng-simple
com.cloudhopper,ch-commons-charset
com.github.penggle,kaptcha
org.clojure,core.async
us.dynmap,dynmap-api
org.apache.hadoop,hadoop-annotations
org.smartboot.socket,aio-core
com.nitorcreations,matchers
org.apache.pulsar,pulsar-client
com.vaadin,vaadin-testbench
org.apache.samza,samza-log4j2_2.11
de.odysseus.juel,juel-api
org.jgrapht,jgrapht-core
us.codecraft,webmagic-extension
org.codehaus.xfire,xfire-spring
com.github.jai-imageio,jai-imageio-core
org.jdom,jdom
org.bouncycastle,bcpkix-jdk15to18
com.rollbar,rollbar-java
com.anji-plus,captcha
org.apache.logging.log4j,log4j-core
javax.xml.bind,jsr173_api
io.confluent,kafka-connect-storage-partitioner
org.hildan.fxgson,fx-gson
com.fazecast,jSerialComm
edu.umd.cs.mtc,multithreadedtc
jline,jline
asm,asm
org.springframework.data,spring-data-jpa
org.apache.poi,poi-ooxml-lite
org.passay,passay
com.itextpdf,pdfa
org.hibernate.javax.persistence,hibernate-jpa-2.1-api
org.javamoney.moneta,moneta-core
org.netbeans.api,org-netbeans-modules-csl-types
com.epam.reportportal,agent-java-cucumber6
org.bytedeco,javacpp
org.netbeans.api,org-openide-dialogs
ldapsdk,ldapsdk
net.code-story,simplelenium
org.jenkins-ci.plugins.pipeline-stage-view,pipeline-stage-view
org.springframework.boot,spring-boot-starter-data-jpa
com.github.qcloudsms,qcloudsms
org.apache.cxf,cxf-rt-frontend-jaxrs
de.keyle,mypet-compat-v1_12_R1
org.apache.felix,org.osgi.core
org.duracloud,storeclient
com.tngtech.archunit,archunit-junit5-engine
com.googlecode.jmockit,jmockit
org.apache.lucene,lucene-analyzers-morfologik
org.jenkinsci.plugins,pipeline-model-extensions
org.scala-tools.archetypes,scala-archetype-simple
p6spy,p6spy
org.jboss.shrinkwrap,shrinkwrap-api
org.jmock,jmock
org.apache.xbean,xbean-spring
net.javacrumbs.shedlock,shedlock-provider-jdbc-template
com.googlecode.lanterna,lanterna
com.github.jiconfont,jiconfont-font_awesome
dumbster,dumbster
io.swagger,swagger-models
io.agroal,agroal-api
com.github.docker-java,docker-java
qdox,qdox
io.debezium,debezium-api
com.fallabs,kyotocabinet-java
org.apache.commons,commons-compress
com.netflix.hystrix,hystrix-core
net.sf.kxml,kxml2
org.json,json
org.jooq,joox
io.objectbox,objectbox-java
org.jooq,joor
com.sun.tools.btrace,btrace-client
org.jooq,jooq
org.apache.activemq,activemq-kahadb-store
org.webjars.bower,angular-route
org.owasp.esapi,esapi
org.jenkins-ci.plugins.workflow,workflow-api
org.apache.avro,avro
org.jooq,jool
org.joml,joml
org.fenixedu,postCodeTools
org.biojava,biojava-core
org.noear,nami.channel.socketd.rsocket
org.jboss.weld,weld-core
org.glassfish.jersey.bundles.repackaged,jersey-guava
com.github.axet,vget
org.apache.commons,commons-pool2
org.zeroturnaround,zt-zip
com.madgag,sc-light-jdk15on
org.codehaus.groovy,groovy-groovydoc
com.github.Sentropic,SkillAPI-s
